amount_full_withdrawn,amount_partial_withdrawn,amount_staked,cumulative_amount_full_withdrawn,cumulative_amount_partial_withdrawn,cumulative_amount_staked,cumulative_total_entries,curr_stake,day,entity_category,total_entries
0.0,53.65231767,18400,3169757.1865843586,284748.46758201695,7074304,7487065,3619798.3458336247,2024-06-10,Staking Pools,3021
735.942218919,241.74309493200016,4538,1425087.6476823627,322429.7877310356,4814458,6932922,3066940.5645866017,2024-06-10,undefined,10437
0.0,21.179378942000003,29740,157727.92289889202,18510.422602526,3007213,1055609,2830974.6544985822,2024-06-09,Liquid Restaking,5975
192.0,191.119046147,0,114361.64765760001,41553.344642659016,107682,658002,-48232.99230025903,2024-06-09,Solo Stakers,4871
2943.999449639,865.1650330179998,2848,1424351.7054634436,322188.0446361036,4809920,6922485,3063380.2499004523,2024-06-09,undefined,32195
8128.0,520.4634605710002,251,2541516.5450007035,633214.0590449398,8750656,18439336,5575925.3959543565,2024-06-09,Liquid Staking,24313
480.0,385.475391167,3360,3169757.1865843586,284694.81526434695,7055904,7484044,3601451.9981512944,2024-06-09,Staking Pools,18204
5632.0,679.1183249810003,2432,5614851.443537089,736622.8921472382,8499744,14895844,2148269.6643156726,2024-06-09,CEXs,31804
9599.999644588,947.3020680449994,10516,157727.92289889202,18489.243223584,2977473,1049634,2801255.8338775244,2024-06-08,Liquid Restaking,45584
2656.0,507.50935253500006,5024,3169277.1865843586,284309.33987317997,7052544,7465840,3598957.4735424616,2024-06-08,Staking Pools,23642
1152.0,280.816631249,5952,5609219.443537089,735943.7738222573,8497312,14864040,2152148.7826406537,2024-06-08,CEXs,13140
2240.0,338.16079911600013,6208,1421407.7060138045,321322.87960308563,4807072,6890290,3064341.41438311,2024-06-08,undefined,16053
64.0,1.0408708420000015,0,114169.64765760001,41362.22559651201,107682,653131,-47849.873254112026,2024-06-08,Solo Stakers,55
256.0,384.66590517499986,907,2533388.5450007035,632693.5955843688,8750405,18415023,5584322.859414928,2024-06-08,Liquid Staking,18147
1408.0,548.2213148510002,31964,148127.923254304,17541.941155539,2966957,1004050,2801287.135590157,2024-06-07,Liquid Restaking,26454
32.0,1.1785738639999999,0,114105.64765760001,41361.18472567001,107682,653076,-47784.832383270026,2024-06-07,Solo Stakers,60
448.0,331.792186137,4762,2533132.5450007035,632308.9296791938,8749498,18396876,5584056.525320102,2024-06-07,Liquid Staking,15438
800.0,508.5327913540003,4128,5608067.443537089,735662.9571910083,8491360,14850900,2147629.599271903,2024-06-07,CEXs,23504
2816.0,723.5404423780002,4864,3166621.1865843586,283801.83052064496,7047520,7442198,3597096.9828949966,2024-06-07,Staking Pools,33434
1024.0,388.0613632269999,8384,1419167.7060138045,320984.7188039696,4800864,6874237,3060711.575182226,2024-06-07,undefined,17863
2208.0,295.27046155899995,19144,146719.923254304,16993.719840687998,2934993,977596,2771279.3569050077,2024-06-06,Liquid Restaking,13966
32.0,2.7004643489999984,32,114073.64765760001,41360.00615180601,107682,653016,-47751.65380940602,2024-06-06,Solo Stakers,131
1920.0,321.46131217000004,11120,1418143.7060138045,320596.6574407426,4792480,6856374,3053739.636545453,2024-06-06,undefined,15165
992.0,637.9440342049999,4256,5607267.443537089,735154.4243996543,8487232,14827396,2144810.1320632566,2024-06-06,CEXs,29282
22719.747580559,689.6649125859997,12704,3163805.1865843586,283078.29007826693,7042656,7408764,3595772.5233373744,2024-06-06,Staking Pools,32649
768.0,548.3552229070001,8460,2532684.5450007035,631977.1374930567,8744736,18381438,5580074.317506239,2024-06-06,Liquid Staking,25096
0.0,4.131005731,26168,144511.923254304,16698.449379128997,2915849,963630,2754638.627366567,2024-06-05,Liquid Restaking,2228
19168.0,382.6290117619998,11488,3141085.4390037996,282388.62516568095,7029952,7376115,3606477.9358305195,2024-06-05,Staking Pools,18405
7135.98399311,821.1265008589997,32,2531916.5450007035,631428.7822701497,8736276,18356342,5572930.672729147,2024-06-05,Liquid Staking,37417
575.633681987,310.169911181,9536,1416223.7060138045,320275.19612857257,4781360,6841209,3044861.0978576234,2024-06-05,undefined,14555
32.0,2.2348527359999983,0,114041.64765760001,41357.30568745701,107650,652885,-47748.95334505702,2024-06-05,Solo Stakers,105
2464.0,971.8812193980003,3360,5606275.443537089,734516.4803654492,8482976,14798114,2142184.076097462,2024-06-05,CEXs,44786
320.0,3.153563197000003,13708,144511.923254304,16694.318373397997,2889681,961402,2728474.758372298,2024-06-04,Liquid Restaking,1719
0.0,3.486869928000001,0,114009.64765760001,41355.07083472101,107650,652780,-47714.71849232102,2024-06-04,Solo Stakers,156
7872.0,680.4693738299999,3872,5603811.443537089,733544.5991460512,8479616,14753328,2142259.9573168596,2024-06-04,CEXs,31252
4896.0,1003.6548826059995,8386,2524780.5610075938,630607.6557692906,8736244,18318925,5580855.783223116,2024-06-04,Liquid Staking,45879
5472.0,455.252383057,37696,3121917.4390037996,282005.99615391897,7018464,7357710,3614540.5648422814,2024-06-04,Staking Pools,22042
51071.88435048,340.6639129429998,5311,1415648.0723318176,319965.0262173916,4771824,6826654,3036210.9014507905,2024-06-04,undefined,16969
0.0,0.0,14937,144191.923254304,16691.164810200997,2875973,959683,2715089.9119354947,2024-06-03,Liquid Restaking,1281
32.0,9.512476828,0,114009.64765760001,41351.58396479301,107650,652624,-47711.231622393025,2024-06-03,Solo Stakers,424
1247.76764708,338.03866986999986,8640,1364576.1879813375,319624.3623044486,4766513,6809685,3082312.449714214,2024-06-03,undefined,15824
1343.9945832140002,1039.384017546,7967,2519884.5610075938,629604.0008866846,8727858,18273046,5578369.438105722,2024-06-03,Liquid Staking,47321
672.0,305.2606686799999,15552,3116445.4390037996,281550.74377086194,6980768,7335668,3582771.8172253384,2024-06-03,Staking Pools,14333
14784.0,814.3973192039998,12960,5595939.443537089,732864.1297722212,8475744,14722076,2146940.4266906898,2024-06-03,CEXs,38005
0.0,0.136652338,23100,144191.923254304,16691.164810200997,2861036,958402,2700152.9119354947,2024-06-02,Liquid Restaking,2105
16000.0,178.736214548,3456,3115773.4390037996,281245.4831021819,6965216,7321335,3568197.0778940185,2024-06-02,Staking Pools,8492
3072.0,741.6931056500003,2880,5581155.443537089,732049.7324530171,8462784,14684071,2149578.824009894,2024-06-02,CEXs,33765
1376.0,549.309050049,5056,1363328.4203342577,319286.3236345786,4757873,6793861,3075258.256031164,2024-06-02,undefined,24410
64.0,40.29083166400001,32,113977.64765760001,41342.07148796501,107650,652200,-47669.719145565025,2024-06-02,Solo Stakers,1819
1791.996883591,1025.634616701,98,2518540.5664243796,628564.6168691387,8719891,18225725,5572785.816706482,2024-06-02,Liquid Staking,46449
0.0,0.0,25252,144191.923254304,16691.028157863,2837936,956297,2677053.048587833,2024-06-01,Liquid Restaking,911
192.0,57.538501479999994,0,113913.64765760001,41301.78065630101,107618,650381,-47597.42831390102,2024-06-01,Solo Stakers,2176
3648.0,1939.6205606170001,3060,2516748.5695407884,627538.9822524376,8719793,18179276,5575505.448206774,2024-06-01,Liquid Staking,88074
2656.0,297.875145944,1824,5578083.443537089,731308.0393473671,8459904,14650306,2150512.5171155436,2024-06-01,CEXs,13487
2687.905653161,228.07152874699997,10560,1361952.4203342577,318737.0145845296,4752817,6769451,3072127.5650812127,2024-06-01,undefined,9259
