cum_deposited_eth,cum_validators,deposited_eth,depositor_entity_category,time
207522,6485.0625,192,Solo Stakers,2024-09-23 00:00:00
207330,6479.0625,0,Solo Stakers,2024-09-16 00:00:00
207330,6479.0625,0,Solo Stakers,2024-09-09 00:00:00
207330,6479.0625,0,Solo Stakers,2024-09-02 00:00:00
207330,6479.0625,0,Solo Stakers,2024-08-26 00:00:00
207330,6479.0625,0,Solo Stakers,2024-08-19 00:00:00
207330,6479.0625,160,Solo Stakers,2024-08-12 00:00:00
207170,6474.0625,160,Solo Stakers,2024-08-05 00:00:00
207010,6469.0625,256,Solo Stakers,2024-07-29 00:00:00
206754,6461.0625,0,Solo Stakers,2024-07-22 00:00:00
206754,6461.0625,32,Solo Stakers,2024-07-15 00:00:00
206722,6460.0625,0,Solo Stakers,2024-07-08 00:00:00
206722,6460.0625,704,Solo Stakers,2024-07-01 00:00:00
206018,6438.0625,768,Solo Stakers,2024-06-24 00:00:00
205250,6414.0625,0,Solo Stakers,2024-06-17 00:00:00
205250,6414.0625,32,Solo Stakers,2024-06-10 00:00:00
205218,6413.0625,32,Solo Stakers,2024-06-03 00:00:00
205186,6412.0625,96,Solo Stakers,2024-05-27 00:00:00
205090,6409.0625,224,Solo Stakers,2024-05-20 00:00:00
204866,6402.0625,0,Solo Stakers,2024-05-13 00:00:00
204866,6402.0625,704,Solo Stakers,2024-05-06 00:00:00
204162,6380.0625,64,Solo Stakers,2024-04-29 00:00:00
204098,6378.0625,192,Solo Stakers,2024-04-22 00:00:00
203906,6372.0625,320,Solo Stakers,2024-04-15 00:00:00
203586,6362.0625,192,Solo Stakers,2024-04-08 00:00:00
203394,6356.0625,96,Solo Stakers,2024-04-01 00:00:00
203298,6353.0625,32,Solo Stakers,2024-03-25 00:00:00
203266,6352.0625,32,Solo Stakers,2024-03-18 00:00:00
203234,6351.0625,0,Solo Stakers,2024-03-11 00:00:00
203234,6351.0625,256,Solo Stakers,2024-03-04 00:00:00
202978,6343.0625,288,Solo Stakers,2024-02-26 00:00:00
202690,6334.0625,1280,Solo Stakers,2024-02-19 00:00:00
201410,6294.0625,96,Solo Stakers,2024-02-12 00:00:00
201314,6291.0625,480,Solo Stakers,2024-02-05 00:00:00
200834,6276.0625,256,Solo Stakers,2024-01-29 00:00:00
200578,6268.0625,160,Solo Stakers,2024-01-22 00:00:00
200418,6263.0625,2272,Solo Stakers,2024-01-15 00:00:00
198146,6192.0625,288,Solo Stakers,2024-01-08 00:00:00
197858,6183.0625,512,Solo Stakers,2024-01-01 00:00:00
197346,6167.0625,64,Solo Stakers,2023-12-25 00:00:00
197282,6165.0625,3712,Solo Stakers,2023-12-18 00:00:00
