base_fee_burned,date
628.2538447943886,2023-10-15 00:00:00.000 UTC
587.280895946571,2023-10-14 00:00:00.000 UTC
874.2883510855054,2023-10-13 00:00:00.000 UTC
899.9009245292801,2023-10-12 00:00:00.000 UTC
848.6950452449543,2023-10-11 00:00:00.000 UTC
808.9525173082202,2023-10-10 00:00:00.000 UTC
876.3608008133381,2023-10-09 00:00:00.000 UTC
673.1339635791664,2023-10-08 00:00:00.000 UTC
655.9411941277103,2023-10-07 00:00:00.000 UTC
858.0103761742943,2023-10-06 00:00:00.000 UTC
942.7177302884497,2023-10-05 00:00:00.000 UTC
1011.164328073597,2023-10-04 00:00:00.000 UTC
1220.4959434447142,2023-10-03 00:00:00.000 UTC
1722.0756645750937,2023-10-02 00:00:00.000 UTC
839.4270275221021,2023-10-01 00:00:00.000 UTC
878.422712147427,2023-09-30 00:00:00.000 UTC
1030.2789160639911,2023-09-29 00:00:00.000 UTC
1224.5792783965392,2023-09-28 00:00:00.000 UTC
1281.3686919557435,2023-09-27 00:00:00.000 UTC
1569.1641667084964,2023-09-26 00:00:00.000 UTC
1347.304036544057,2023-09-25 00:00:00.000 UTC
809.3775319737464,2023-09-24 00:00:00.000 UTC
852.9564216775346,2023-09-23 00:00:00.000 UTC
1020.2235021803583,2023-09-22 00:00:00.000 UTC
2022.723171994806,2023-09-21 00:00:00.000 UTC
1569.1860904458167,2023-09-20 00:00:00.000 UTC
1347.2764390170064,2023-09-19 00:00:00.000 UTC
1692.9112513087323,2023-09-18 00:00:00.000 UTC
960.2306710681345,2023-09-17 00:00:00.000 UTC
1100.1828205481777,2023-09-16 00:00:00.000 UTC
1767.5412904306208,2023-09-15 00:00:00.000 UTC
1950.0083313220946,2023-09-14 00:00:00.000 UTC
1993.0627760291452,2023-09-13 00:00:00.000 UTC
1642.191608002291,2023-09-12 00:00:00.000 UTC
2265.365044573171,2023-09-11 00:00:00.000 UTC
1027.4834296586828,2023-09-10 00:00:00.000 UTC
1119.8990429203852,2023-09-09 00:00:00.000 UTC
1692.23037768171,2023-09-08 00:00:00.000 UTC
2005.5981861529347,2023-09-07 00:00:00.000 UTC
2051.640083239843,2023-09-06 00:00:00.000 UTC
1857.1269500636997,2023-09-05 00:00:00.000 UTC
1700.3361367808766,2023-09-04 00:00:00.000 UTC
1284.5707269324166,2023-09-03 00:00:00.000 UTC
1292.4064318574967,2023-09-02 00:00:00.000 UTC
1911.656076374638,2023-09-01 00:00:00.000 UTC
2355.7841070006543,2023-08-31 00:00:00.000 UTC
2453.726071014086,2023-08-30 00:00:00.000 UTC
3398.102179600045,2023-08-29 00:00:00.000 UTC
2808.5914781605316,2023-08-28 00:00:00.000 UTC
1360.589524970887,2023-08-27 00:00:00.000 UTC
1385.909841952849,2023-08-26 00:00:00.000 UTC
2408.0111268040364,2023-08-25 00:00:00.000 UTC
2141.7097819392707,2023-08-24 00:00:00.000 UTC
2417.251041224331,2023-08-23 00:00:00.000 UTC
3354.4908636345467,2023-08-22 00:00:00.000 UTC
2427.630784704812,2023-08-21 00:00:00.000 UTC
1599.0297320724997,2023-08-20 00:00:00.000 UTC
1551.8849804972542,2023-08-19 00:00:00.000 UTC
2660.5621113107545,2023-08-18 00:00:00.000 UTC
4098.153087094619,2023-08-17 00:00:00.000 UTC
3210.5287733445343,2023-08-16 00:00:00.000 UTC
2745.316571431328,2023-08-15 00:00:00.000 UTC
2246.94344868179,2023-08-14 00:00:00.000 UTC
1512.6221051631228,2023-08-13 00:00:00.000 UTC
1522.8849583351584,2023-08-12 00:00:00.000 UTC
1998.5499507398777,2023-08-11 00:00:00.000 UTC
2378.558704994551,2023-08-10 00:00:00.000 UTC
2346.3667744352756,2023-08-09 00:00:00.000 UTC
2560.0530029700817,2023-08-08 00:00:00.000 UTC
2482.2815496826033,2023-08-07 00:00:00.000 UTC
1544.7606855916588,2023-08-06 00:00:00.000 UTC
1717.37834381507,2023-08-05 00:00:00.000 UTC
2064.8746068652085,2023-08-04 00:00:00.000 UTC
2384.159610886064,2023-08-03 00:00:00.000 UTC
2543.674540630041,2023-08-02 00:00:00.000 UTC
2436.666149100427,2023-08-01 00:00:00.000 UTC
2530.7564257319905,2023-07-31 00:00:00.000 UTC
2089.0536204920672,2023-07-30 00:00:00.000 UTC
2276.2326108531333,2023-07-29 00:00:00.000 UTC
3921.714893354759,2023-07-28 00:00:00.000 UTC
3258.981444015442,2023-07-27 00:00:00.000 UTC
2787.7130650171957,2023-07-26 00:00:00.000 UTC
3105.2606170398226,2023-07-25 00:00:00.000 UTC
3358.0522030582306,2023-07-24 00:00:00.000 UTC
2082.033608442312,2023-07-23 00:00:00.000 UTC
1967.4561781714683,2023-07-22 00:00:00.000 UTC
2995.1884407207326,2023-07-21 00:00:00.000 UTC
2780.7226723674103,2023-07-20 00:00:00.000 UTC
2663.056790805354,2023-07-19 00:00:00.000 UTC
3151.8089148328213,2023-07-18 00:00:00.000 UTC
2274.3900939728846,2023-07-17 00:00:00.000 UTC
1653.5949641999102,2023-07-16 00:00:00.000 UTC
1467.4888037104943,2023-07-15 00:00:00.000 UTC
2551.221344600346,2023-07-14 00:00:00.000 UTC
3397.815447560736,2023-07-13 00:00:00.000 UTC
2856.418843294087,2023-07-12 00:00:00.000 UTC
2289.4122848180427,2023-07-11 00:00:00.000 UTC
2255.115035469028,2023-07-10 00:00:00.000 UTC
1809.968119849803,2023-07-09 00:00:00.000 UTC
2003.6579144205064,2023-07-08 00:00:00.000 UTC
3312.154588890465,2023-07-07 00:00:00.000 UTC
